MemTotal:       16261308 kB
MemFree:        15679524 kB
MemAvailable:   15745568 kB
Buffers:           42596 kB
Cached:           206844 kB
SwapCached:            0 kB
Active:            71736 kB
Inactive:         206452 kB
Active(anon):       2408 kB
Inactive(anon):    29012 kB
Active(file):      69328 kB
Inactive(file):   177440 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       4194304 kB
SwapFree:        4194304 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         28448 kB
Mapped:            73056 kB
Shmem:              2988 kB
KReclaimable:      12632 kB
Slab:              60980 kB
SReclaimable:      12632 kB
SUnreclaim:        48348 kB
KernelStack:        4196 kB
PageTables:         1388 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    12324956 kB
Committed_AS:     350620 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       27416 kB
VmallocChunk:          0 kB
Percpu:             4608 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:       25600 kB
DirectMap2M:     4052992 kB
DirectMap1G:    22020096 kB
