MemTotal:       16261296 kB
MemFree:        15699836 kB
MemAvailable:   15748632 kB
Buffers:           41208 kB
Cached:           191668 kB
SwapCached:            0 kB
Active:            57948 kB
Inactive:         202284 kB
Active(anon):       2388 kB
Inactive(anon):    27964 kB
Active(file):      55560 kB
Inactive(file):   174320 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       4194304 kB
SwapFree:        4194304 kB
Dirty:               116 kB
Writeback:             0 kB
AnonPages:         27528 kB
Mapped:            72956 kB
Shmem:              2976 kB
KReclaimable:      11900 kB
Slab:              59264 kB
SReclaimable:      11900 kB
SUnreclaim:        47364 kB
KernelStack:        4180 kB
PageTables:         1260 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    12324952 kB
Committed_AS:     349868 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       27304 kB
VmallocChunk:          0 kB
Percpu:             4608 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:       29696 kB
DirectMap2M:     4048896 kB
DirectMap1G:    22020096 kB
