MemTotal:       16261312 kB
MemFree:        15679276 kB
MemAvailable:   15748588 kB
Buffers:           41968 kB
Cached:           211284 kB
SwapCached:            0 kB
Active:            66944 kB
Inactive:         214636 kB
Active(anon):       2400 kB
Inactive(anon):    28916 kB
Active(file):      64544 kB
Inactive(file):   185720 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       4194304 kB
SwapFree:        4194304 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         28388 kB
Mapped:            73404 kB
Shmem:              2988 kB
KReclaimable:      11816 kB
Slab:              58428 kB
SReclaimable:      11816 kB
SUnreclaim:        46612 kB
KernelStack:        4164 kB
PageTables:         1392 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    12324960 kB
Committed_AS:     350620 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       27336 kB
VmallocChunk:          0 kB
Percpu:             4608 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:       27648 kB
DirectMap2M:     4050944 kB
DirectMap1G:    22020096 kB
